Planning Area,Subzone,Age,Sex,Count
Straits View,Straits View,42,Total,-
Straits View,Straits View,42,Males,-
Straits View,Straits View,42,Females,-
Straits View,Straits View,43,Total,-
Straits View,Straits View,43,Males,-
Straits View,Straits View,43,Females,-
Straits View,Straits View,44,Total,-
Straits View,Straits View,44,Males,-
Straits View,Straits View,44,Females,-
Straits View,Straits View,45,Total,-
Straits View,Straits View,45,Males,-
Straits View,Straits View,45,Females,-
Straits View,Straits View,46,Total,-
Straits View,Straits View,46,Males,-
Straits View,Straits View,46,Females,-
Straits View,Straits View,47,Total,-
Straits View,Straits View,47,Males,-
Straits View,Straits View,47,Females,-
Straits View,Straits View,48,Total,-
Straits View,Straits View,48,Males,-
Straits View,Straits View,48,Females,-
Straits View,Straits View,49,Total,-
Straits View,Straits View,49,Males,-
Straits View,Straits View,49,Females,-
Straits View,Straits View,50,Total,-
Straits View,Straits View,50,Males,-
Straits View,Straits View,50,Females,-
Straits View,Straits View,51,Total,-
Straits View,Straits View,51,Males,-
Straits View,Straits View,51,Females,-
Straits View,Straits View,52,Total,-
Straits View,Straits View,52,Males,-
Straits View,Straits View,52,Females,-
Straits View,Straits View,53,Total,-
Straits View,Straits View,53,Males,-
Straits View,Straits View,53,Females,-
Straits View,Straits View,54,Total,-
Straits View,Straits View,54,Males,-
Straits View,Straits View,54,Females,-
Straits View,Straits View,55,Total,-
Straits View,Straits View,55,Males,-
Straits View,Straits View,55,Females,-
Straits View,Straits View,56,Total,-
Straits View,Straits View,56,Males,-
Straits View,Straits View,56,Females,-
Straits View,Straits View,57,Total,-
Straits View,Straits View,57,Males,-
Straits View,Straits View,57,Females,-
Straits View,Straits View,58,Total,-
Straits View,Straits View,58,Males,-
Straits View,Straits View,58,Females,-
Straits View,Straits View,59,Total,-
Straits View,Straits View,59,Males,-
Straits View,Straits View,59,Females,-
Straits View,Straits View,60,Total,-
Straits View,Straits View,60,Males,-
Straits View,Straits View,60,Females,-
Straits View,Straits View,61,Total,-
Straits View,Straits View,61,Males,-
Straits View,Straits View,61,Females,-
Straits View,Straits View,62,Total,-
Straits View,Straits View,62,Males,-
Straits View,Straits View,62,Females,-
Straits View,Straits View,63,Total,-
Straits View,Straits View,63,Males,-
Straits View,Straits View,63,Females,-
Straits View,Straits View,64,Total,-
Straits View,Straits View,64,Males,-
Straits View,Straits View,64,Females,-
Straits View,Straits View,65,Total,-
Straits View,Straits View,65,Males,-
Straits View,Straits View,65,Females,-
Straits View,Straits View,66,Total,-
Straits View,Straits View,66,Males,-
Straits View,Straits View,66,Females,-
Straits View,Straits View,67,Total,-
Straits View,Straits View,67,Males,-
Straits View,Straits View,67,Females,-
Straits View,Straits View,68,Total,-
Straits View,Straits View,68,Males,-
Straits View,Straits View,68,Females,-
Straits View,Straits View,69,Total,-
Straits View,Straits View,69,Males,-
Straits View,Straits View,69,Females,-
Straits View,Straits View,70,Total,-
Straits View,Straits View,70,Males,-
Straits View,Straits View,70,Females,-
Straits View,Straits View,71,Total,-
Straits View,Straits View,71,Males,-
Straits View,Straits View,71,Females,-
Straits View,Straits View,72,Total,-
Straits View,Straits View,72,Males,-
Straits View,Straits View,72,Females,-
Straits View,Straits View,73,Total,-
Straits View,Straits View,73,Males,-
Straits View,Straits View,73,Females,-
Straits View,Straits View,74,Total,-
Straits View,Straits View,74,Males,-
Straits View,Straits View,74,Females,-
Straits View,Straits View,75,Total,-
Straits View,Straits View,75,Males,-
Straits View,Straits View,75,Females,-
Straits View,Straits View,76,Total,-
Straits View,Straits View,76,Males,-
Straits View,Straits View,76,Females,-
Straits View,Straits View,77,Total,-
Straits View,Straits View,77,Males,-
Straits View,Straits View,77,Females,-
Straits View,Straits View,78,Total,-
Straits View,Straits View,78,Males,-
Straits View,Straits View,78,Females,-
Straits View,Straits View,79,Total,-
Straits View,Straits View,79,Males,-
Straits View,Straits View,79,Females,-
Straits View,Straits View,80,Total,-
Straits View,Straits View,80,Males,-
Straits View,Straits View,80,Females,-
Straits View,Straits View,81,Total,-
Straits View,Straits View,81,Males,-
Straits View,Straits View,81,Females,-
Straits View,Straits View,82,Total,-
Straits View,Straits View,82,Males,-
Straits View,Straits View,82,Females,-
Straits View,Straits View,83,Total,-
Straits View,Straits View,83,Males,-
Straits View,Straits View,83,Females,-
Straits View,Straits View,84,Total,-
Straits View,Straits View,84,Males,-
Straits View,Straits View,84,Females,-
Straits View,Straits View,85,Total,-
Straits View,Straits View,85,Males,-
Straits View,Straits View,85,Females,-
Straits View,Straits View,86,Total,-
Straits View,Straits View,86,Males,-
Straits View,Straits View,86,Females,-
Straits View,Straits View,87,Total,-
Straits View,Straits View,87,Males,-
Straits View,Straits View,87,Females,-
Straits View,Straits View,88,Total,-
Straits View,Straits View,88,Males,-
Straits View,Straits View,88,Females,-
Straits View,Straits View,89,Total,-
Straits View,Straits View,89,Males,-
Straits View,Straits View,89,Females,-
Straits View,Straits View,90 & Over,Total,-
Straits View,Straits View,90 & Over,Males,-
Straits View,Straits View,90 & Over,Females,-
Sungei Kadut,Total,Total,Total,720
Sungei Kadut,Total,Total,Males,360
Sungei Kadut,Total,Total,Females,360
Sungei Kadut,Total,0,Total,-
Sungei Kadut,Total,0,Males,-
Sungei Kadut,Total,0,Females,-
Sungei Kadut,Total,1,Total,-
Sungei Kadut,Total,1,Males,-
Sungei Kadut,Total,1,Females,-
Sungei Kadut,Total,2,Total,10
Sungei Kadut,Total,2,Males,-
Sungei Kadut,Total,2,Females,-
Sungei Kadut,Total,3,Total,-
Sungei Kadut,Total,3,Males,-
Sungei Kadut,Total,3,Females,-
Sungei Kadut,Total,4,Total,10
Sungei Kadut,Total,4,Males,-
Sungei Kadut,Total,4,Females,-
Sungei Kadut,Total,5,Total,10
Sungei Kadut,Total,5,Males,-
Sungei Kadut,Total,5,Females,-
Sungei Kadut,Total,6,Total,10
Sungei Kadut,Total,6,Males,-
Sungei Kadut,Total,6,Females,-
Sungei Kadut,Total,7,Total,10
Sungei Kadut,Total,7,Males,-
Sungei Kadut,Total,7,Females,-
Sungei Kadut,Total,8,Total,10
Sungei Kadut,Total,8,Males,-
Sungei Kadut,Total,8,Females,-
Sungei Kadut,Total,9,Total,10
Sungei Kadut,Total,9,Males,-
Sungei Kadut,Total,9,Females,-
Sungei Kadut,Total,10,Total,10
Sungei Kadut,Total,10,Males,10
Sungei Kadut,Total,10,Females,-
Sungei Kadut,Total,11,Total,10
Sungei Kadut,Total,11,Males,-
Sungei Kadut,Total,11,Females,10
Sungei Kadut,Total,12,Total,10
Sungei Kadut,Total,12,Males,10
Sungei Kadut,Total,12,Females,-
Sungei Kadut,Total,13,Total,10
Sungei Kadut,Total,13,Males,-
Sungei Kadut,Total,13,Females,-
Sungei Kadut,Total,14,Total,10
Sungei Kadut,Total,14,Males,-
Sungei Kadut,Total,14,Females,-
Sungei Kadut,Total,15,Total,-
Sungei Kadut,Total,15,Males,-
Sungei Kadut,Total,15,Females,-
Sungei Kadut,Total,16,Total,10
Sungei Kadut,Total,16,Males,-
Sungei Kadut,Total,16,Females,10
Sungei Kadut,Total,17,Total,-
Sungei Kadut,Total,17,Males,-
Sungei Kadut,Total,17,Females,-
Sungei Kadut,Total,18,Total,10
Sungei Kadut,Total,18,Males,-
Sungei Kadut,Total,18,Females,-
Sungei Kadut,Total,19,Total,10
Sungei Kadut,Total,19,Males,-
Sungei Kadut,Total,19,Females,-
Sungei Kadut,Total,20,Total,10
Sungei Kadut,Total,20,Males,10
Sungei Kadut,Total,20,Females,-
Sungei Kadut,Total,21,Total,10
Sungei Kadut,Total,21,Males,10
Sungei Kadut,Total,21,Females,-
Sungei Kadut,Total,22,Total,10
Sungei Kadut,Total,22,Males,-
Sungei Kadut,Total,22,Females,-
Sungei Kadut,Total,23,Total,10
Sungei Kadut,Total,23,Males,-
Sungei Kadut,Total,23,Females,10
Sungei Kadut,Total,24,Total,10
Sungei Kadut,Total,24,Males,10
Sungei Kadut,Total,24,Females,10
Sungei Kadut,Total,25,Total,10
Sungei Kadut,Total,25,Males,-
Sungei Kadut,Total,25,Females,10
Sungei Kadut,Total,26,Total,-
Sungei Kadut,Total,26,Males,-
Sungei Kadut,Total,26,Females,-
Sungei Kadut,Total,27,Total,20
Sungei Kadut,Total,27,Males,10
Sungei Kadut,Total,27,Females,10
Sungei Kadut,Total,28,Total,10
Sungei Kadut,Total,28,Males,-
Sungei Kadut,Total,28,Females,-
Sungei Kadut,Total,29,Total,10
Sungei Kadut,Total,29,Males,-
Sungei Kadut,Total,29,Females,10
Sungei Kadut,Total,30,Total,10
Sungei Kadut,Total,30,Males,-
Sungei Kadut,Total,30,Females,10
Sungei Kadut,Total,31,Total,10
Sungei Kadut,Total,31,Males,-
Sungei Kadut,Total,31,Females,-
Sungei Kadut,Total,32,Total,10
Sungei Kadut,Total,32,Males,10
Sungei Kadut,Total,32,Females,-
Sungei Kadut,Total,33,Total,-
Sungei Kadut,Total,33,Males,-
Sungei Kadut,Total,33,Females,-
Sungei Kadut,Total,34,Total,10
Sungei Kadut,Total,34,Males,-
Sungei Kadut,Total,34,Females,-
Sungei Kadut,Total,35,Total,10
Sungei Kadut,Total,35,Males,-
Sungei Kadut,Total,35,Females,-
Sungei Kadut,Total,36,Total,10
Sungei Kadut,Total,36,Males,-
Sungei Kadut,Total,36,Females,10
Sungei Kadut,Total,37,Total,10
Sungei Kadut,Total,37,Males,-
Sungei Kadut,Total,37,Females,-
Sungei Kadut,Total,38,Total,10
Sungei Kadut,Total,38,Males,10
Sungei Kadut,Total,38,Females,-
Sungei Kadut,Total,39,Total,10
Sungei Kadut,Total,39,Males,-
Sungei Kadut,Total,39,Females,10
Sungei Kadut,Total,40,Total,10
Sungei Kadut,Total,40,Males,-
Sungei Kadut,Total,40,Females,10
Sungei Kadut,Total,41,Total,-
Sungei Kadut,Total,41,Males,-
Sungei Kadut,Total,41,Females,-
Sungei Kadut,Total,42,Total,10
Sungei Kadut,Total,42,Males,10
Sungei Kadut,Total,42,Females,10
Sungei Kadut,Total,43,Total,10
Sungei Kadut,Total,43,Males,-
Sungei Kadut,Total,43,Females,-
Sungei Kadut,Total,44,Total,10
Sungei Kadut,Total,44,Males,10
Sungei Kadut,Total,44,Females,-
Sungei Kadut,Total,45,Total,10
Sungei Kadut,Total,45,Males,10
Sungei Kadut,Total,45,Females,-
Sungei Kadut,Total,46,Total,10
Sungei Kadut,Total,46,Males,10
Sungei Kadut,Total,46,Females,10
Sungei Kadut,Total,47,Total,10
Sungei Kadut,Total,47,Males,10
Sungei Kadut,Total,47,Females,-
Sungei Kadut,Total,48,Total,10
Sungei Kadut,Total,48,Males,10
Sungei Kadut,Total,48,Females,10
Sungei Kadut,Total,49,Total,10
Sungei Kadut,Total,49,Males,10
Sungei Kadut,Total,49,Females,10
Sungei Kadut,Total,50,Total,20
Sungei Kadut,Total,50,Males,10
Sungei Kadut,Total,50,Females,-
Sungei Kadut,Total,51,Total,10
Sungei Kadut,Total,51,Males,10
Sungei Kadut,Total,51,Females,10
Sungei Kadut,Total,52,Total,10
Sungei Kadut,Total,52,Males,10
Sungei Kadut,Total,52,Females,10
Sungei Kadut,Total,53,Total,10
Sungei Kadut,Total,53,Males,10
Sungei Kadut,Total,53,Females,10
Sungei Kadut,Total,54,Total,10
Sungei Kadut,Total,54,Males,-
Sungei Kadut,Total,54,Females,-
Sungei Kadut,Total,55,Total,10
Sungei Kadut,Total,55,Males,10
Sungei Kadut,Total,55,Females,10
Sungei Kadut,Total,56,Total,10
Sungei Kadut,Total,56,Males,-
Sungei Kadut,Total,56,Females,-
Sungei Kadut,Total,57,Total,20
Sungei Kadut,Total,57,Males,10
Sungei Kadut,Total,57,Females,10
Sungei Kadut,Total,58,Total,10
Sungei Kadut,Total,58,Males,-
Sungei Kadut,Total,58,Females,10
Sungei Kadut,Total,59,Total,10
Sungei Kadut,Total,59,Males,-
Sungei Kadut,Total,59,Females,10
Sungei Kadut,Total,60,Total,10
Sungei Kadut,Total,60,Males,-
Sungei Kadut,Total,60,Females,10
Sungei Kadut,Total,61,Total,10
Sungei Kadut,Total,61,Males,10
Sungei Kadut,Total,61,Females,10
Sungei Kadut,Total,62,Total,10
Sungei Kadut,Total,62,Males,10
Sungei Kadut,Total,62,Females,-
Sungei Kadut,Total,63,Total,10
Sungei Kadut,Total,63,Males,10
Sungei Kadut,Total,63,Females,10
Sungei Kadut,Total,64,Total,10
Sungei Kadut,Total,64,Males,10
Sungei Kadut,Total,64,Females,10
Sungei Kadut,Total,65,Total,10
Sungei Kadut,Total,65,Males,10
Sungei Kadut,Total,65,Females,-
Sungei Kadut,Total,66,Total,10
Sungei Kadut,Total,66,Males,10
Sungei Kadut,Total,66,Females,-
Sungei Kadut,Total,67,Total,10
Sungei Kadut,Total,67,Males,10
Sungei Kadut,Total,67,Females,10
Sungei Kadut,Total,68,Total,10
Sungei Kadut,Total,68,Males,10
Sungei Kadut,Total,68,Females,-
Sungei Kadut,Total,69,Total,10
Sungei Kadut,Total,69,Males,-
Sungei Kadut,Total,69,Females,-
Sungei Kadut,Total,70,Total,10
Sungei Kadut,Total,70,Males,10
Sungei Kadut,Total,70,Females,10
Sungei Kadut,Total,71,Total,10
Sungei Kadut,Total,71,Males,10
Sungei Kadut,Total,71,Females,-
Sungei Kadut,Total,72,Total,10
Sungei Kadut,Total,72,Males,-
Sungei Kadut,Total,72,Females,10
Sungei Kadut,Total,73,Total,10
Sungei Kadut,Total,73,Males,10
Sungei Kadut,Total,73,Females,10
Sungei Kadut,Total,74,Total,10
Sungei Kadut,Total,74,Males,-
Sungei Kadut,Total,74,Females,-
Sungei Kadut,Total,75,Total,10
Sungei Kadut,Total,75,Males,-
Sungei Kadut,Total,75,Females,-
Sungei Kadut,Total,76,Total,-
Sungei Kadut,Total,76,Males,-
Sungei Kadut,Total,76,Females,-
Sungei Kadut,Total,77,Total,10
Sungei Kadut,Total,77,Males,-
Sungei Kadut,Total,77,Females,-
Sungei Kadut,Total,78,Total,-
Sungei Kadut,Total,78,Males,-
Sungei Kadut,Total,78,Females,-
Sungei Kadut,Total,79,Total,-
Sungei Kadut,Total,79,Males,-
Sungei Kadut,Total,79,Females,-
Sungei Kadut,Total,80,Total,10
Sungei Kadut,Total,80,Males,-
Sungei Kadut,Total,80,Females,-
Sungei Kadut,Total,81,Total,10
Sungei Kadut,Total,81,Males,-
Sungei Kadut,Total,81,Females,10
Sungei Kadut,Total,82,Total,-
Sungei Kadut,Total,82,Males,-
Sungei Kadut,Total,82,Females,-
Sungei Kadut,Total,83,Total,10
Sungei Kadut,Total,83,Males,-
Sungei Kadut,Total,83,Females,-
Sungei Kadut,Total,84,Total,10
Sungei Kadut,Total,84,Males,10
Sungei Kadut,Total,84,Females,-
Sungei Kadut,Total,85,Total,10
Sungei Kadut,Total,85,Males,-
Sungei Kadut,Total,85,Females,-
Sungei Kadut,Total,86,Total,10
Sungei Kadut,Total,86,Males,-
Sungei Kadut,Total,86,Females,-
Sungei Kadut,Total,87,Total,-
Sungei Kadut,Total,87,Males,-
Sungei Kadut,Total,87,Females,-
Sungei Kadut,Total,88,Total,-
Sungei Kadut,Total,88,Males,-
Sungei Kadut,Total,88,Females,-
Sungei Kadut,Total,89,Total,-
Sungei Kadut,Total,89,Males,-
Sungei Kadut,Total,89,Females,-
Sungei Kadut,Total,90 & Over,Total,10
Sungei Kadut,Total,90 & Over,Males,-
Sungei Kadut,Total,90 & Over,Females,10
Sungei Kadut,Gali Batu,Total,Total,20
Sungei Kadut,Gali Batu,Total,Males,-
Sungei Kadut,Gali Batu,Total,Females,-
Sungei Kadut,Gali Batu,0,Total,-
Sungei Kadut,Gali Batu,0,Males,-
Sungei Kadut,Gali Batu,0,Females,-
Sungei Kadut,Gali Batu,1,Total,-
Sungei Kadut,Gali Batu,1,Males,-
Sungei Kadut,Gali Batu,1,Females,-
Sungei Kadut,Gali Batu,2,Total,-
Sungei Kadut,Gali Batu,2,Males,-
Sungei Kadut,Gali Batu,2,Females,-
Sungei Kadut,Gali Batu,3,Total,-
Sungei Kadut,Gali Batu,3,Males,-
Sungei Kadut,Gali Batu,3,Females,-
Sungei Kadut,Gali Batu,4,Total,-
Sungei Kadut,Gali Batu,4,Males,-
Sungei Kadut,Gali Batu,4,Females,-
Sungei Kadut,Gali Batu,5,Total,-
Sungei Kadut,Gali Batu,5,Males,-
Sungei Kadut,Gali Batu,5,Females,-
Sungei Kadut,Gali Batu,6,Total,-
Sungei Kadut,Gali Batu,6,Males,-
Sungei Kadut,Gali Batu,6,Females,-
Sungei Kadut,Gali Batu,7,Total,-
Sungei Kadut,Gali Batu,7,Males,-
Sungei Kadut,Gali Batu,7,Females,-
Sungei Kadut,Gali Batu,8,Total,-
Sungei Kadut,Gali Batu,8,Males,-
Sungei Kadut,Gali Batu,8,Females,-
Sungei Kadut,Gali Batu,9,Total,-
Sungei Kadut,Gali Batu,9,Males,-
Sungei Kadut,Gali Batu,9,Females,-
Sungei Kadut,Gali Batu,10,Total,-
Sungei Kadut,Gali Batu,10,Males,-
Sungei Kadut,Gali Batu,10,Females,-
Sungei Kadut,Gali Batu,11,Total,-
Sungei Kadut,Gali Batu,11,Males,-
Sungei Kadut,Gali Batu,11,Females,-
Sungei Kadut,Gali Batu,12,Total,-
Sungei Kadut,Gali Batu,12,Males,-
Sungei Kadut,Gali Batu,12,Females,-
Sungei Kadut,Gali Batu,13,Total,-
Sungei Kadut,Gali Batu,13,Males,-
Sungei Kadut,Gali Batu,13,Females,-
Sungei Kadut,Gali Batu,14,Total,-
Sungei Kadut,Gali Batu,14,Males,-
Sungei Kadut,Gali Batu,14,Females,-
Sungei Kadut,Gali Batu,15,Total,-
Sungei Kadut,Gali Batu,15,Males,-
Sungei Kadut,Gali Batu,15,Females,-
Sungei Kadut,Gali Batu,16,Total,-
Sungei Kadut,Gali Batu,16,Males,-
Sungei Kadut,Gali Batu,16,Females,-
Sungei Kadut,Gali Batu,17,Total,-
Sungei Kadut,Gali Batu,17,Males,-
Sungei Kadut,Gali Batu,17,Females,-
Sungei Kadut,Gali Batu,18,Total,-
Sungei Kadut,Gali Batu,18,Males,-
Sungei Kadut,Gali Batu,18,Females,-
Sungei Kadut,Gali Batu,19,Total,-
Sungei Kadut,Gali Batu,19,Males,-
Sungei Kadut,Gali Batu,19,Females,-
Sungei Kadut,Gali Batu,20,Total,-
Sungei Kadut,Gali Batu,20,Males,-
Sungei Kadut,Gali Batu,20,Females,-
Sungei Kadut,Gali Batu,21,Total,-
Sungei Kadut,Gali Batu,21,Males,-
Sungei Kadut,Gali Batu,21,Females,-
Sungei Kadut,Gali Batu,22,Total,-
Sungei Kadut,Gali Batu,22,Males,-
Sungei Kadut,Gali Batu,22,Females,-
Sungei Kadut,Gali Batu,23,Total,-
Sungei Kadut,Gali Batu,23,Males,-
Sungei Kadut,Gali Batu,23,Females,-
Sungei Kadut,Gali Batu,24,Total,-
Sungei Kadut,Gali Batu,24,Males,-
Sungei Kadut,Gali Batu,24,Females,-
Sungei Kadut,Gali Batu,25,Total,-
Sungei Kadut,Gali Batu,25,Males,-
Sungei Kadut,Gali Batu,25,Females,-
Sungei Kadut,Gali Batu,26,Total,-
Sungei Kadut,Gali Batu,26,Males,-
Sungei Kadut,Gali Batu,26,Females,-
Sungei Kadut,Gali Batu,27,Total,-
Sungei Kadut,Gali Batu,27,Males,-
Sungei Kadut,Gali Batu,27,Females,-
Sungei Kadut,Gali Batu,28,Total,-
Sungei Kadut,Gali Batu,28,Males,-
Sungei Kadut,Gali Batu,28,Females,-
Sungei Kadut,Gali Batu,29,Total,-
Sungei Kadut,Gali Batu,29,Males,-
Sungei Kadut,Gali Batu,29,Females,-
Sungei Kadut,Gali Batu,30,Total,-
Sungei Kadut,Gali Batu,30,Males,-
Sungei Kadut,Gali Batu,30,Females,-
Sungei Kadut,Gali Batu,31,Total,-
Sungei Kadut,Gali Batu,31,Males,-
Sungei Kadut,Gali Batu,31,Females,-
Sungei Kadut,Gali Batu,32,Total,-
Sungei Kadut,Gali Batu,32,Males,-
Sungei Kadut,Gali Batu,32,Females,-
Sungei Kadut,Gali Batu,33,Total,-
Sungei Kadut,Gali Batu,33,Males,-
Sungei Kadut,Gali Batu,33,Females,-
Sungei Kadut,Gali Batu,34,Total,-
Sungei Kadut,Gali Batu,34,Males,-
Sungei Kadut,Gali Batu,34,Females,-
Sungei Kadut,Gali Batu,35,Total,-
Sungei Kadut,Gali Batu,35,Males,-
Sungei Kadut,Gali Batu,35,Females,-
Sungei Kadut,Gali Batu,36,Total,-
Sungei Kadut,Gali Batu,36,Males,-
Sungei Kadut,Gali Batu,36,Females,-
Sungei Kadut,Gali Batu,37,Total,-
Sungei Kadut,Gali Batu,37,Males,-
Sungei Kadut,Gali Batu,37,Females,-
Sungei Kadut,Gali Batu,38,Total,-
Sungei Kadut,Gali Batu,38,Males,-
Sungei Kadut,Gali Batu,38,Females,-
Sungei Kadut,Gali Batu,39,Total,-
Sungei Kadut,Gali Batu,39,Males,-
Sungei Kadut,Gali Batu,39,Females,-
Sungei Kadut,Gali Batu,40,Total,-
Sungei Kadut,Gali Batu,40,Males,-
Sungei Kadut,Gali Batu,40,Females,-
Sungei Kadut,Gali Batu,41,Total,-
Sungei Kadut,Gali Batu,41,Males,-
Sungei Kadut,Gali Batu,41,Females,-
Sungei Kadut,Gali Batu,42,Total,-
Sungei Kadut,Gali Batu,42,Males,-
Sungei Kadut,Gali Batu,42,Females,-
Sungei Kadut,Gali Batu,43,Total,-
Sungei Kadut,Gali Batu,43,Males,-
Sungei Kadut,Gali Batu,43,Females,-
Sungei Kadut,Gali Batu,44,Total,-
Sungei Kadut,Gali Batu,44,Males,-
Sungei Kadut,Gali Batu,44,Females,-
Sungei Kadut,Gali Batu,45,Total,-
Sungei Kadut,Gali Batu,45,Males,-
Sungei Kadut,Gali Batu,45,Females,-
Sungei Kadut,Gali Batu,46,Total,-
Sungei Kadut,Gali Batu,46,Males,-
Sungei Kadut,Gali Batu,46,Females,-
Sungei Kadut,Gali Batu,47,Total,-
Sungei Kadut,Gali Batu,47,Males,-
Sungei Kadut,Gali Batu,47,Females,-
Sungei Kadut,Gali Batu,48,Total,-
Sungei Kadut,Gali Batu,48,Males,-
Sungei Kadut,Gali Batu,48,Females,-
Sungei Kadut,Gali Batu,49,Total,-
Sungei Kadut,Gali Batu,49,Males,-
Sungei Kadut,Gali Batu,49,Females,-
Sungei Kadut,Gali Batu,50,Total,-
Sungei Kadut,Gali Batu,50,Males,-
Sungei Kadut,Gali Batu,50,Females,-
Sungei Kadut,Gali Batu,51,Total,-
Sungei Kadut,Gali Batu,51,Males,-
Sungei Kadut,Gali Batu,51,Females,-
Sungei Kadut,Gali Batu,52,Total,-
Sungei Kadut,Gali Batu,52,Males,-
Sungei Kadut,Gali Batu,52,Females,-
Sungei Kadut,Gali Batu,53,Total,-
Sungei Kadut,Gali Batu,53,Males,-
Sungei Kadut,Gali Batu,53,Females,-
Sungei Kadut,Gali Batu,54,Total,-
Sungei Kadut,Gali Batu,54,Males,-
Sungei Kadut,Gali Batu,54,Females,-
Sungei Kadut,Gali Batu,55,Total,-
Sungei Kadut,Gali Batu,55,Males,-
Sungei Kadut,Gali Batu,55,Females,-
Sungei Kadut,Gali Batu,56,Total,-
Sungei Kadut,Gali Batu,56,Males,-
Sungei Kadut,Gali Batu,56,Females,-
Sungei Kadut,Gali Batu,57,Total,-
Sungei Kadut,Gali Batu,57,Males,-
Sungei Kadut,Gali Batu,57,Females,-
Sungei Kadut,Gali Batu,58,Total,-
Sungei Kadut,Gali Batu,58,Males,-
Sungei Kadut,Gali Batu,58,Females,-
Sungei Kadut,Gali Batu,59,Total,-
Sungei Kadut,Gali Batu,59,Males,-
Sungei Kadut,Gali Batu,59,Females,-
Sungei Kadut,Gali Batu,60,Total,-
Sungei Kadut,Gali Batu,60,Males,-
Sungei Kadut,Gali Batu,60,Females,-
Sungei Kadut,Gali Batu,61,Total,-
Sungei Kadut,Gali Batu,61,Males,-
Sungei Kadut,Gali Batu,61,Females,-
Sungei Kadut,Gali Batu,62,Total,-
Sungei Kadut,Gali Batu,62,Males,-
Sungei Kadut,Gali Batu,62,Females,-
Sungei Kadut,Gali Batu,63,Total,-
Sungei Kadut,Gali Batu,63,Males,-
Sungei Kadut,Gali Batu,63,Females,-
Sungei Kadut,Gali Batu,64,Total,-
Sungei Kadut,Gali Batu,64,Males,-
Sungei Kadut,Gali Batu,64,Females,-
Sungei Kadut,Gali Batu,65,Total,-
Sungei Kadut,Gali Batu,65,Males,-
Sungei Kadut,Gali Batu,65,Females,-
Sungei Kadut,Gali Batu,66,Total,-
Sungei Kadut,Gali Batu,66,Males,-
Sungei Kadut,Gali Batu,66,Females,-
Sungei Kadut,Gali Batu,67,Total,-
Sungei Kadut,Gali Batu,67,Males,-
Sungei Kadut,Gali Batu,67,Females,-
Sungei Kadut,Gali Batu,68,Total,-
Sungei Kadut,Gali Batu,68,Males,-
Sungei Kadut,Gali Batu,68,Females,-
Sungei Kadut,Gali Batu,69,Total,-
Sungei Kadut,Gali Batu,69,Males,-
Sungei Kadut,Gali Batu,69,Females,-
Sungei Kadut,Gali Batu,70,Total,-
Sungei Kadut,Gali Batu,70,Males,-
Sungei Kadut,Gali Batu,70,Females,-
Sungei Kadut,Gali Batu,71,Total,-
Sungei Kadut,Gali Batu,71,Males,-
Sungei Kadut,Gali Batu,71,Females,-
Sungei Kadut,Gali Batu,72,Total,-
Sungei Kadut,Gali Batu,72,Males,-
Sungei Kadut,Gali Batu,72,Females,-
Sungei Kadut,Gali Batu,73,Total,-
Sungei Kadut,Gali Batu,73,Males,-
Sungei Kadut,Gali Batu,73,Females,-
Sungei Kadut,Gali Batu,74,Total,-
Sungei Kadut,Gali Batu,74,Males,-
Sungei Kadut,Gali Batu,74,Females,-
Sungei Kadut,Gali Batu,75,Total,-
Sungei Kadut,Gali Batu,75,Males,-
Sungei Kadut,Gali Batu,75,Females,-
Sungei Kadut,Gali Batu,76,Total,-
Sungei Kadut,Gali Batu,76,Males,-
Sungei Kadut,Gali Batu,76,Females,-
Sungei Kadut,Gali Batu,77,Total,-
Sungei Kadut,Gali Batu,77,Males,-
Sungei Kadut,Gali Batu,77,Females,-
Sungei Kadut,Gali Batu,78,Total,-
Sungei Kadut,Gali Batu,78,Males,-
Sungei Kadut,Gali Batu,78,Females,-
Sungei Kadut,Gali Batu,79,Total,-
Sungei Kadut,Gali Batu,79,Males,-
Sungei Kadut,Gali Batu,79,Females,-
Sungei Kadut,Gali Batu,80,Total,-
Sungei Kadut,Gali Batu,80,Males,-
Sungei Kadut,Gali Batu,80,Females,-
Sungei Kadut,Gali Batu,81,Total,-
Sungei Kadut,Gali Batu,81,Males,-
Sungei Kadut,Gali Batu,81,Females,-
Sungei Kadut,Gali Batu,82,Total,-
Sungei Kadut,Gali Batu,82,Males,-
Sungei Kadut,Gali Batu,82,Females,-
Sungei Kadut,Gali Batu,83,Total,-
Sungei Kadut,Gali Batu,83,Males,-
Sungei Kadut,Gali Batu,83,Females,-
Sungei Kadut,Gali Batu,84,Total,-
Sungei Kadut,Gali Batu,84,Males,-
Sungei Kadut,Gali Batu,84,Females,-
Sungei Kadut,Gali Batu,85,Total,-
Sungei Kadut,Gali Batu,85,Males,-
Sungei Kadut,Gali Batu,85,Females,-
Sungei Kadut,Gali Batu,86,Total,-
Sungei Kadut,Gali Batu,86,Males,-
Sungei Kadut,Gali Batu,86,Females,-
Sungei Kadut,Gali Batu,87,Total,-
Sungei Kadut,Gali Batu,87,Males,-
Sungei Kadut,Gali Batu,87,Females,-
Sungei Kadut,Gali Batu,88,Total,-
Sungei Kadut,Gali Batu,88,Males,-
