Planning Area,Subzone,Age,Sex,Count
Ang Mo Kio,Total,57,Males,"1,240"
Ang Mo Kio,Total,57,Females,"1,240"
Ang Mo Kio,Total,58,Total,"2,500"
Ang Mo Kio,Total,58,Males,"1,200"
Ang Mo Kio,Total,58,Females,"1,300"
Ang Mo Kio,Total,59,Total,"2,470"
Ang Mo Kio,Total,59,Males,"1,270"
Ang Mo Kio,Total,59,Females,"1,200"
Ang Mo Kio,Total,60,Total,"2,440"
Ang Mo Kio,Total,60,Males,"1,250"
Ang Mo Kio,Total,60,Females,"1,190"
Ang Mo Kio,Total,61,Total,"2,550"
Ang Mo Kio,Total,61,Males,"1,280"
Ang Mo Kio,Total,61,Females,"1,270"
Ang Mo Kio,Total,62,Total,"2,460"
Ang Mo Kio,Total,62,Males,"1,220"
Ang Mo Kio,Total,62,Females,"1,240"
Ang Mo Kio,Total,63,Total,"2,410"
Ang Mo Kio,Total,63,Males,"1,150"
Ang Mo Kio,Total,63,Females,"1,260"
Ang Mo Kio,Total,64,Total,"2,510"
Ang Mo Kio,Total,64,Males,"1,160"
Ang Mo Kio,Total,64,Females,"1,350"
Ang Mo Kio,Total,65,Total,"2,420"
Ang Mo Kio,Total,65,Males,"1,070"
Ang Mo Kio,Total,65,Females,"1,360"
Ang Mo Kio,Total,66,Total,"2,390"
Ang Mo Kio,Total,66,Males,"1,090"
Ang Mo Kio,Total,66,Females,"1,300"
Ang Mo Kio,Total,67,Total,"2,410"
Ang Mo Kio,Total,67,Males,"1,120"
Ang Mo Kio,Total,67,Females,"1,290"
Ang Mo Kio,Total,68,Total,"2,330"
Ang Mo Kio,Total,68,Males,"1,090"
Ang Mo Kio,Total,68,Females,"1,240"
Ang Mo Kio,Total,69,Total,"2,300"
Ang Mo Kio,Total,69,Males,"1,020"
Ang Mo Kio,Total,69,Females,"1,290"
Ang Mo Kio,Total,70,Total,"2,260"
Ang Mo Kio,Total,70,Males,"1,030"
Ang Mo Kio,Total,70,Females,"1,230"
Ang Mo Kio,Total,71,Total,"2,160"
Ang Mo Kio,Total,71,Males,990
Ang Mo Kio,Total,71,Females,"1,160"
Ang Mo Kio,Total,72,Total,"2,130"
Ang Mo Kio,Total,72,Males,"1,040"
Ang Mo Kio,Total,72,Females,"1,100"
Ang Mo Kio,Total,73,Total,"1,960"
Ang Mo Kio,Total,73,Males,900
Ang Mo Kio,Total,73,Females,"1,070"
Ang Mo Kio,Total,74,Total,"2,040"
Ang Mo Kio,Total,74,Males,910
Ang Mo Kio,Total,74,Females,"1,120"
Ang Mo Kio,Total,75,Total,"1,350"
Ang Mo Kio,Total,75,Males,590
